time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
1,624670;0,0851;0,0162;0,0168;0,088
1,629426;0,1028;0,0240;-0,0323;0,110
1,635308;0,0589;0,0318;-0,0714;0,098
1,637683;-0,0010;0,0442;-0,0840;0,095
1,643834;-0,0296;0,0187;-0,0755;0,083
1,649089;-0,0247;0,0150;-0,1125;0,116
1,655101;-0,0485;0,0233;-0,0381;0,066
1,658926;-0,0961;0,0034;-0,0408;0,104
1,674382;-0,0536;0,0241;-0,0108;0,060
1,675553;-0,0212;-0,0075;0,0376;0,044
1,676165;0,0368;-0,0386;-0,0121;0,055
1,678641;0,0467;-0,0433;0,0096;0,064
1,686945;0,0446;-0,0549;0,0308;0,077
1,690474;0,0567;-0,0402;0,0589;0,091
1,694294;0,0594;0,0052;0,0820;0,101
1,700074;0,0503;0,0287;0,0862;0,104
1,704632;0,0485;0,0542;0,0409;0,083
1,707716;0,0397;0,0865;0,0249;0,098
1,713701;0,0381;0,0234;-0,0476;0,065
1,717950;0,0486;0,0438;-0,0814;0,104
1,723099;0,0640;0,0285;-0,1054;0,127
1,729104;0,0579;0,0062;-0,0769;0,096
1,734498;0,0260;0,0078;-0,0392;0,048
1,738370;0,0206;-0,0213;-0,0186;0,035
1,744014;-0,0013;-0,0265;0,0114;0,029
1,750221;0,0268;-0,0245;0,0078;0,037
1,751875;0,0169;-0,0557;0,0444;0,073
1,756898;0,0451;-0,0201;0,0452;0,067
1,764543;0,0421;-0,0062;0,0578;0,072
1,770000;0,0652;0,0147;0,0608;0,090
1,771536;0,0146;0,0710;0,0591;0,094
1,778550;0,0187;0,0840;0,0196;0,088
1,787563;0,0131;0,1136;0,0160;0,115
1,789407;-0,0164;0,1357;-0,0516;0,146
1,791976;-0,0173;0,1458;-0,0642;0,160
1,796925;-0,0323;0,1583;-0,1457;0,218
1,803385;-0,0023;0,1897;-0,1198;0,224
1,808951;-0,0507;0,1545;-0,1228;0,204
1,811652;-0,0225;0,1529;-0,1402;0,209
1,816513;-0,0229;0,1538;-0,1409;0,210
1,822547;-0,0017;0,1096;-0,0801;0,136
1,827040;-0,0065;0,1062;-0,0627;0,124
1,833700;0,0028;0,1005;-0,0857;0,132
