time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
1.608375;-0.1005;-0.1977;-0.0855;0.238
1.611234;0.0094;-0.1967;-0.0559;0.205
1.616320;0.1048;-0.1908;-0.0648;0.227
1.621316;0.1094;-0.1468;-0.0882;0.203
1.625461;0.1097;-0.1269;-0.0453;0.174
1.631257;0.0957;-0.0737;-0.0362;0.126
1.635799;0.1102;-0.0922;-0.0371;0.148
1.640709;0.0868;-0.1103;-0.0907;0.167
1.645686;0.0921;-0.1519;-0.0776;0.194
1.653166;0.0784;-0.1647;-0.0175;0.183
1.655277;0.0982;-0.1534;-0.0009;0.182
1.661349;0.1231;-0.1755;0.0441;0.219
1.666460;0.1200;-0.2068;0.0982;0.258
1.671985;0.0798;-0.2331;0.1002;0.266
1.675168;0.0172;-0.2594;0.0555;0.266
1.682818;0.0223;-0.2382;0.0885;0.255
1.691277;0.0848;-0.1653;0.1082;0.215
1.692536;0.0991;-0.0364;0.1291;0.167
1.695797;0.1081;0.0910;0.1653;0.217
1.706192;0.0686;0.1836;0.1551;0.250
1.707762;0.1566;0.2466;0.0940;0.307
1.710536;0.2144;0.2374;0.0013;0.320
1.714813;0.2334;0.1948;-0.0807;0.315
1.722386;0.2524;0.2429;-0.1428;0.378
1.725366;0.2670;0.2527;-0.1620;0.402
1.730514;0.2590;0.1630;-0.1012;0.322
1.735671;0.0336;0.0745;0.0769;0.112
1.740037;-0.0179;-0.0035;0.1673;0.168
1.745429;0.0370;-0.0664;0.1046;0.129
1.751827;0.0641;-0.0763;0.0896;0.134
1.755649;-0.0269;-0.0480;0.1603;0.170
1.760127;-0.0886;-0.0581;0.1737;0.203
1.765230;-0.1646;0.0125;0.1353;0.213
1.770806;-0.1315;0.1012;0.0219;0.167
1.774242;-0.1380;0.1794;-0.0185;0.227
1.779044;-0.1408;0.1995;-0.0669;0.253
1.792205;-0.1684;0.1478;-0.0760;0.237
1.793749;-0.1924;0.0298;-0.0844;0.212
1.794911;-0.1601;-0.1348;-0.0829;0.225
1.810762;-0.1281;-0.2316;-0.1576;0.308
1.812228;-0.0769;-0.1847;-0.3607;0.413
1.812868;-0.1335;0.0332;-0.6729;0.687
1.814841;-0.0728;0.2217;-0.7188;0.756
1.819762;-0.1754;0.3240;-0.3149;0.485
1.824826;-0.3322;0.2549;-0.1147;0.434
1.829946;-0.2493;0.1251;0.0541;0.284
1.835305;-0.1149;-0.0509;0.3203;0.344
1.839453;-0.0629;-0.0829;0.2796;0.298
1.844377;-0.1166;0.0566;0.2050;0.243
1.849425;-0.1995;0.2237;-0.1412;0.331
1.854168;-0.2735;0.3993;-0.4299;0.647
1.859777;-0.2768;0.5124;-0.4007;0.707
1.864534;-0.2239;0.6534;-0.2742;0.743
1.874103;-0.2198;0.6512;-0.1031;0.695
1.875555;-0.2212;0.5020;-0.0198;0.549
1.882031;-0.1092;0.2020;0.1341;0.266
1.884264;-0.0602;-0.0958;0.1548;0.192
1.891478;-0.0264;-0.3536;0.1816;0.398
1.895202;0.0825;-0.4958;0.2529;0.563
1.899023;0.2187;-0.4808;0.2404;0.580
1.904596;0.2353;-0.4616;0.1825;0.549
1.910923;0.1053;-0.4240;0.1931;0.478
1.915314;-0.0895;-0.5484;0.2668;0.616
1.919503;-0.2065;-0.6625;0.3505;0.777
1.925369;-0.1423;-0.6525;0.3727;0.765
1.929613;-0.0841;-0.6192;0.3479;0.715
