time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
1.939822;0.2176;-0.0470;0.0150;0.223
1.945669;0.2306;-0.0588;0.0599;0.245
1.949972;0.2483;-0.0681;0.0781;0.269
1.953604;0.3135;-0.0655;0.0656;0.327
1.958476;0.3167;-0.0723;0.0841;0.336
1.964929;0.3319;-0.0909;0.0908;0.356
1.968556;0.3187;-0.0928;0.1117;0.350
1.973986;0.3367;-0.0945;0.0803;0.359
1.978203;0.3452;-0.1034;0.0896;0.371
1.984843;0.3465;-0.0505;0.1060;0.366
1.990318;0.3313;-0.0645;0.0417;0.340
1.993204;0.3236;-0.0474;0.0586;0.332
1.998157;0.2995;0.0194;0.0707;0.308
2.013251;0.3207;0.0096;0.0303;0.322
2.014593;0.2989;0.0237;0.0187;0.300
2.015229;0.2870;0.0164;0.0379;0.290
2.017959;0.2634;0.0637;-0.0144;0.271
2.031050;0.2661;0.0347;-0.0306;0.270
2.032146;0.2144;0.0345;-0.0255;0.219
2.033575;0.1941;0.0319;-0.0255;0.198
2.039398;0.1386;0.0508;-0.0278;0.150
2.044409;0.0765;0.0577;-0.0184;0.098
2.048662;0.0411;0.0218;-0.0186;0.050
2.052973;0.0156;0.0337;-0.0189;0.042
2.057808;-0.0119;0.0289;-0.0168;0.035
2.064247;-0.0771;-0.0091;0.0044;0.078
2.068894;-0.0919;0.0197;0.0256;0.097
2.074440;-0.1326;0.0055;0.0515;0.142
2.077847;-0.1659;-0.0038;0.0536;0.174
2.082496;-0.1631;0.0012;0.0464;0.170
2.095098;-0.1796;0.0227;0.0346;0.184
2.096516;-0.1817;0.0559;0.0610;0.200
2.098454;-0.1768;0.0223;0.0613;0.188
2.104634;-0.1910;0.0435;0.0805;0.212
2.119459;-0.2124;0.0337;0.0663;0.225
2.120413;-0.2196;0.0263;0.0523;0.227
2.120854;-0.2172;0.0261;0.0360;0.222
2.125384;-0.2009;0.0472;0.0341;0.209
2.129700;-0.1565;0.0467;0.0608;0.174
2.133538;-0.1197;0.0367;0.0754;0.146
2.138027;-0.0977;0.0410;0.0732;0.129
2.144365;-0.0569;0.0428;0.0664;0.097
2.149177;-0.0118;0.0304;0.0502;0.060
2.151914;0.0115;0.0109;0.0198;0.025
2.157762;0.0109;0.0131;-0.0105;0.020
2.163309;0.0150;0.0057;-0.0242;0.029
2.166989;-0.0021;0.0008;-0.0283;0.028
2.174692;0.0119;-0.0373;-0.0088;0.040
2.177026;0.0139;-0.0252;-0.0135;0.032
2.182661;0.0208;-0.0392;-0.0113;0.046
2.188232;0.0374;-0.0530;-0.0047;0.065
2.192443;0.0230;-0.0311;-0.0126;0.041
2.196841;0.0065;-0.0734;-0.0350;0.082
2.203713;0.0021;-0.0607;-0.0432;0.074
2.211162;0.0239;-0.0860;-0.0159;0.091
